# Generated by scraping https://www.whitelabs.com/yeast-bank?keywords=&flocculation=0&type=yeasts&temp_from=1&temp_to=100&atten_from=1&atten_to=100&tolerance=0&drink_type=0&yeast_type=0&op=SHOW+ALL+STRAINS&form_build_id=form-l39Ewbv-SV4w6oZ4JpCXHCM5S2hoNOFrnMHkoDDsFnc&form_id=whitelabs_yeast_yeast_bank_form
# name	low_attenuation	high_attenuation	low_temperature	high_temperature	low_abv	high_abv
WLP001 California Ale Yeast®	73	80	68	73	10	15
WLP002 English Ale Yeast	63	70	65	68	5	10
WLP003 German Ale II Yeast 	73	80	65	70	5	10
WLP004 Irish Ale Yeast	69	74	65	68	8	12
WLP005 British Ale Yeast	67	74	65	70	5	10
WLP006 Bedford British Ale Yeast	72	80	65	70	5	10
WLP007 Dry English Ale Yeast	70	80	65	70	8	12
WLP008 East Coast Ale Yeast	70	75	68	73	5	10
WLP009 Australian Ale Yeast	70	75	65	70	5	10
WLP011 European Ale Yeast 	65	70	65	70	5	10
WLP013 London Ale Yeast	67	75	66	71	5	10
WLP017 Whitbread II Ale Yeast	67	73	66	70	5	10
WLP019 California IV Ale Yeast	0	0	0	0	0	0
WLP022 Essex Ale Yeast	71	76	66	70	5	10
WLP023 Burton Ale Yeast	69	75	68	73	5	10
WLP025 Southwold Ale Yeast	68	75	66	69	5	10
WLP026 Premium Bitter Ale Yeast	70	75	67	70	5	10
WLP028 Edinburgh Scottish Ale Yeast	70	75	65	70	8	12
WLP029 German Ale/ Kölsch Yeast	72	78	65	69	5	10
WLP030 Thames Valley Ale Yeast	72	78	0	0	0	0
WLP033 Klassic Ale Yeast	66	74	66	70	5	10
WLP036 Düsseldorf Alt Ale Yeast	65	72	65	69	5	10
WLP037 Yorkshire Square Ale Yeast	68	72	65	70	8	12
WLP038 Manchester Ale Yeast	70	74	65	70	8	12
WLP039 East Midlands Ale Yeast	73	82	66	70	5	10
WLP041 Pacific Ale Yeast	65	70	65	68	5	10
WLP045 Scotch Whisky Yeast	75	80	72	77	10	15
WLP050 Tennessee Whiskey Yeast	75	80	75	79	10	15
WLP051 California Ale V Yeast	70	75	66	70	8	12
WLP059 Melbourne Ale Yeast	74	78	0	0	0	0
WLP060 American Ale Yeast Blend	72	80	68	72	8	12
WLP064 Buchner Ale Yeast Blend	72	78	67	72	8	12
WLP065 American Whiskey Yeast	76	82	75	82	10	15
WLP066 London Fog Ale Yeast	65	70	64	72	8	12
WLP070 Kentucky Bourbon Yeast	75	80	72	77	10	15
WLP072 French Ale Yeast	68	75	63	73	5	10
WLP073 Artisanal Country Ale Yeast	75	80	70	82	8	12
WLP075 Hansen Ale Yeast Blend	75	80	66	70	10	15
WLP076 Old Sonoma Ale Yeast	70	74	66	70	5	10
WLP078 Neutral Grain Yeast	77	84	76	85	10	15
WLP080 Cream Ale Yeast Blend	75	80	65	70	8	12
WLP085 English Ale Yeast Blend	69	76	68	72	5	10
WLP090 San Diego Super Yeast 	76	83	65	68	10	15
WLP095 Burlington Ale Yeast	73	78	67	70	8	12
WLP099 Super High Gravity Ale Yeast	80	100	65	69	0	0
WLP300 Hefeweizen Ale Yeast 	72	76	68	72	5	10
WLP320 American Hefeweizen Ale Yeast	70	75	65	69	5	10
WLP351 Bavarian Weizen Yeast	73	77	66	70	5	10
WLP380 Hefeweizen IV Ale Yeast	73	80	66	70	5	10
WLP400 Belgian Wit Ale Yeast	74	78	67	74	5	10
WLP410 Belgian Wit II Ale Yeast	70	75	67	74	5	10
WLP500 Monastery Ale Yeast	75	80	65	72	10	15
WLP510 Bastogne Belgian Ale Yeast	74	80	66	72	10	15
WLP515 Antwerp Ale Yeast	73	80	67	70	5	10
WLP530 Abbey Ale Yeast	75	80	66	72	10	15
WLP540 Abbey IV Ale Yeast	74	82	66	72	10	15
WLP545 Belgian Strong Ale Yeast	78	85	66	72	10	15
WLP550 Belgian Ale Yeast	78	85	68	78	8	12
WLP564 Leeuwenhoek Saison Yeast Blend	76	82	66	75	10	15
WLP565 Belgian Saison I Yeast 	65	75	68	75	5	10
WLP566 Belgian Saison II Yeast 	78	85	68	78	5	10
WLP568 Belgian Style Saison Ale Yeast Blend	70	80	70	80	5	10
WLP570 Belgian Golden Ale Yeast	73	78	68	75	10	15
WLP575 Belgian Style Ale Yeast Blend 	74	80	68	75	8	12
WLP585 Belgian Saison III Ale Yeast	70	74	68	75	5	10
WLP590 French Saison Ale Yeast	73	80	69	75	5	10
WLP600 Kombucha SCOBY 	0	0	0	0	0	0
WLP603 Torulaspora delbrueckii	30	50	50	86	5	10
WLP611 New Nordic Ale Yeast	65	75	0	0	0	0
WLP616 Funky Cider Blend	0	0	0	0	0	0
WLP630 Berliner Weisse Blend	73	80	68	72	5	10
WLP640 Brettanomyces anomalus	70	85	70	85	8	12
WLP644 Saccharomyces "bruxellensis" Trois	85	85	70	85	8	12
WLP645 Brettanomyces claussenii	70	85	85	85	8	12
WLP648 Brettanomyces bruxellensis Trois Vrai	85	85	70	85	8	12
WLP650 Brettanomyces bruxellensis	85	85	85	85	8	12
WLP653 Brettanomyces lambicus	70	85	85	85	8	12
WLP655 Belgian Sour Mix 1	70	80	80	85	8	12
WLP661 Pediococcus damnosus	65	65	0	0	8	12
WLP665 Flemish Ale Blend	80	85	68	80	8	12
WLP669 Lactobacillus paracollinoides	0	0	0	0	0	0
WLP670 American Farmhouse Blend	75	82	68	72	5	10
WLP672 Lactobacillus brevis	80	80	0	0	5	10
WLP673 Lactobacillus buchneri	0	0	0	0	0	0
WLP675 Malolactic Cultures	0	0	0	0	0	0
WLP677 Lactobacillus delbrueckii Bacteria	75	82	70	75	5	10
WLP678 Lactobacillus hilgardii	0	0	0	0	0	0
WLP692 Debaryomyces hansenii	0	0	0	0	0	0
