# Generated by scraping http://www.wyeastlab.com/beer-strains
# name	low_attenuation	high_attenuation	low_temperature	high_temperature	abv
Wyeast 1007 German Ale	73	77	55	68	11
Wyeast 1010 American Wheat	74	78	58	74	10
Wyeast 1026-PC British Cask Ale	74	77	63	72	9
Wyeast 1028 London Ale	73	77	60	72	11
Wyeast 1056 American Ale	73	77	60	72	11
Wyeast 1084 Irish Ale	71	75	62	72	12
Wyeast 1087-PC Wyeast Bohemian Ale Blend	71	75	64	72	11
Wyeast 1098 British Ale	73	75	64	72	10
Wyeast 1099 Whitbread Ale	68	72	64	75	10
Wyeast 1187 Ringwood Ale	68	72	64	74	10
Wyeast 1203-PC Burton IPA Blend	71	74	64	74	10
Wyeast 1214 Belgian Abbey Style Ale	74	78	68	78	12
Wyeast 1217-PC West Coast IPA	73	80	62	74	10
Wyeast 1272 American Ale II	72	76	60	72	10
Wyeast 1275 Thames Valley Ale	72	76	62	72	10
Wyeast 1318 London Ale III	71	75	64	74	10
Wyeast 1332 Northwest Ale	67	71	65	75	10
Wyeast 1335 British Ale II	73	76	63	75	10
Wyeast 1388 Belgian Strong Ale	74	78	64	80	12
Wyeast 1450 Denny's Favorite 50 Ale	74	76	60	70	10
Wyeast 1469 West Yorkshire Ale	67	71	64	72	9
Wyeast 1581-PC Belgian Stout	70	85	65	75	12
Wyeast 1728 Scottish Ale	69	73	55	75	12
Wyeast 1762 Belgian Abbey Style Ale II	73	77	65	75	12
Wyeast 1768-PC English Special Bitter	68	72	64	72	9
Wyeast 1882-PC Thames Valley Ale II	72	78	60	70	10
Wyeast 1968 London ESB Ale	67	71	64	72	9
Wyeast 2000-PC Budvar Lager	71	75	48	56	9
Wyeast 2001-PC Pilsner Urquell H-Strain	72	76	48	56	9
Wyeast 2002-PC Gambrinus Style Lager	71	75	46	56	9
Wyeast 2007 Pilsen Lager	71	75	48	56	9
Wyeast 2035-PC American Lager	73	77	48	58	9
Wyeast 2042-PC Danish Lager	73	77	46	56	9
Wyeast 2105-PC Rocky Mountain Lager	70	74	48	56	9
Wyeast 2112 California Lager	67	71	58	68	9
Wyeast 2124 Bohemian Lager	73	77	45	68	9
Wyeast 2206 Bavarian Lager	73	77	46	58	9
Wyeast 2247-PC European Lager	73	77	46	56	10
Wyeast 2272-PC North American Lager	70	76	52	58	9
Wyeast 2278 Czech Pils	70	74	50	58	9
Wyeast 2308 Munich Lager	70	74	48	56	9
Wyeast 2352-PC Munich Lager II	72	74	52	62	10
Wyeast 2487-PC Hella Bock Lager	70	74	48	56	12
Wyeast 2565 Kölsch	73	77	56	70	10
Wyeast 2575-PC Kölsch II	73	77	55	70	10
Wyeast 2633 Octoberfest Lager Blend	73	77	45	58	9
Wyeast 2782-PC Staro Prague Lager	70	74	50	58	11
Wyeast 3031-PC Saison-Brett Blend	80	90	65	80	12
Wyeast 3056 Bavarian Wheat Blend	73	77	64	74	10
Wyeast 3068 Weihenstephan Weizen	73	77	64	75	10
Wyeast 3191-PC Berliner Weisse Blend	73	77	68	72	6
Wyeast 3209-PC Oud Bruin Ale Blend	70	80	80	85	10
Wyeast 3278 Belgian Lambic Blend	70	80	63	75	11
Wyeast 3333-PC German Wheat	70	76	63	75	10
Wyeast 3463-PC Forbidden Fruit	72	76	63	76	12
Wyeast 3522 Belgian Ardennes	72	76	65	76	12
Wyeast 3538-PC Leuven Pale Ale	70	76	64	75	10
Wyeast 3638 Bavarian Wheat	70	76	64	75	10
Wyeast 3655-PC Belgian Schelde Ale	73	77	62	74	11
Wyeast 3711 French Saison	77	83	65	77	12
Wyeast 3724 Belgian Saison	76	80	70	95	12
Wyeast 3725-PC Bière de Garde	74	79	70	84	12
Wyeast 3726 Farmhouse Ale	74	79	70	84	12
Wyeast 3739-PC Flanders Golden Ale	74	78	64	80	12
Wyeast 3763 Roeselare Ale Blend	80	80	65	85	11
Wyeast 3787 Trappist Style High Gravity	74	78	64	78	11
Wyeast 3789-PC Trappist Style Blend	75	80	68	85	12
Wyeast 3822-PC Belgian Dark Ale	74	79	65	80	12
Wyeast 3864-PC Canadian/Belgian Ale	75	79	65	80	12
Wyeast 3942-PC Belgian Wheat	72	76	64	74	12
Wyeast 3944 Belgian Witbier	72	76	62	75	11
Wyeast 9097-PC Old Ale Blend	75	80	68	75	14
